DAC	thr_voltage
1	0.335438973
1	0.334008534
1	0.333977903
1	0.333988997
2	0.333972044
2	0.332523298
2	0.33250126
2	0.332473559
3	0.332510523
3	0.331053928
3	0.331105749
3	0.33109952
4	0.331038975
4	0.329659128
4	0.329666667
4	0.329623668
5	0.329603035
5	0.328202346
5	0.328204473
5	0.32820415
6	0.328147545
6	0.32666323
6	0.326654713
6	0.326652399
7	0.326676863
7	0.325165162
7	0.325204905
7	0.32522257
8	0.325199401
8	0.323751385
8	0.32378892
8	0.323771255
9	0.323749877
9	0.322271492
9	0.322271785
9	0.322286582
10	0.322275285
10	0.320778406
10	0.320776002
10	0.320773203
11	0.320768441
11	0.319312319
11	0.319275559
11	0.319269726
12	0.319288734
12	0.317799829
12	0.317802773
12	0.317806629
13	0.317774098
13	0.316375867
13	0.316387528
13	0.316356389
14	0.316389249
14	0.314926296
14	0.314947476
14	0.314896569
15	0.314910901
15	0.313467686
15	0.313420979
15	0.313478154
16	0.31344259
16	0.311957314
16	0.312019498
16	0.31196322
17	0.311973043
17	0.310589814
17	0.310606401
17	0.310604222
18	0.310634898
18	0.3091544
18	0.309130697
18	0.309122124
19	0.30914256
19	0.307703347
19	0.307695908
19	0.30772244
20	0.307699661
20	0.30626396
20	0.306277512
20	0.306278546
21	0.306316676
21	0.304824778
21	0.304813597
21	0.304832271
22	0.304836767
22	0.303276248
22	0.30326286
22	0.303267786
23	0.303298686
23	0.301763745
23	0.301770064
23	0.301762947
24	0.301712528
24	0.300287215
24	0.300308357
24	0.300304106
25	0.30028673
25	0.29886827
25	0.298888726
25	0.298857262
26	0.298878861
26	0.297374014
26	0.297360397
26	0.297359368
27	0.297362694
27	0.295837086
27	0.295843874
27	0.295843381
28	0.295886662
28	0.294393534
28	0.294379646
28	0.294349747
29	0.294363215
29	0.292898652
29	0.292892646
29	0.292913672
30	0.292924485
30	0.291485714
30	0.291472897
30	0.291459998
31	0.291470207
31	0.28999719
31	0.289962303
31	0.289959609
32	0.289944637
32	0.288476109
32	0.288482679
32	0.288459305
33	0.288501154
33	0.287137185
33	0.287143872
33	0.287128603
34	0.287153372
34	0.285731819
34	0.285709432
34	0.28572468
35	0.285733706
35	0.28427165
35	0.284298971
35	0.284283135
36	0.284274471
36	0.282827431
36	0.282900978
36	0.282843061
37	0.28285986
37	0.281484184
37	0.281482288
37	0.281480205
38	0.281483371
38	0.27995642
38	0.279941428
38	0.279946395
39	0.279980313
39	0.27854597
39	0.278515163
39	0.278539149
40	0.278551496
40	0.277059755
40	0.277046105
40	0.277061295
41	0.277094509
41	0.275649005
41	0.27564023
41	0.275639422
42	0.275639284
42	0.274138392
42	0.274126026
42	0.274114464
43	0.274124676
43	0.272607508
43	0.2726206
43	0.272606512
44	0.272586228
44	0.271116638
44	0.271129051
44	0.271121651
45	0.271127502
45	0.26964952
45	0.26967279
45	0.269681569
46	0.269649248
46	0.268231202
46	0.26822266
46	0.268223497
47	0.268221093
47	0.26680333
47	0.266779282
47	0.266761071
48	0.266793403
48	0.265337122
48	0.265320139
48	0.265297983
49	0.265303019
49	0.263891249
49	0.263873654
49	0.263881524
50	0.263892752
50	0.262482316
50	0.262489771
50	0.262431969
51	0.262450379
51	0.261031436
51	0.261020646
51	0.261031527
52	0.261025674
52	0.259633747
52	0.25960309
52	0.259593858
53	0.259578939
53	0.258134573
53	0.258142684
53	0.258135007
54	0.258166391
54	0.256659662
54	0.256656733
54	0.256647534
55	0.256631619
55	0.255253806
55	0.255284505
55	0.255248805
56	0.255298594
56	0.253749417
56	0.253818677
56	0.253784667
57	0.253791361
57	0.252309131
57	0.252312733
57	0.252350075
58	0.252318324
58	0.250776101
58	0.250780395
58	0.250767429
59	0.25078802
59	0.249252786
59	0.249236316
59	0.249229103
60	0.249232108
60	0.247720298
60	0.247731889
60	0.247723446
61	0.24772105
61	0.24622425
61	0.246234357
61	0.24626837
62	0.246249379
62	0.244816629
62	0.244817958
62	0.24481345
63	0.244807179
63	0.243359616
63	0.243329251
63	0.24336031
64	0.243368361
64	0.241903131
64	0.241921893
64	0.241889354
65	0.241905311
65	0.240485431
65	0.240498177
65	0.240432963
66	0.240445247
66	0.23905251
66	0.239058208
66	0.239035671
67	0.239076573
67	0.237682105
67	0.237673278
67	0.237684999
68	0.237684613
68	0.236285016
68	0.236277635
68	0.236265867
69	0.236278918
69	0.234818195
69	0.234816904
69	0.234789974
70	0.234778228
70	0.233228457
70	0.2332427
70	0.23322048
71	0.233219788
71	0.231799567
71	0.231800194
71	0.23177938
72	0.231792834
72	0.230369098
72	0.230387302
72	0.230378252
73	0.230363742
73	0.228935177
73	0.228925413
73	0.228900396
74	0.228892124
74	0.227359065
74	0.227389694
74	0.227401731
75	0.22743026
75	0.225882957
75	0.225894038
75	0.225905566
76	0.225890862
76	0.224387052
76	0.22436994
76	0.224387105
77	0.224355103
77	0.222919319
77	0.222916993
77	0.222947151
78	0.222905404
78	0.22148762
78	0.221460563
78	0.221482399
79	0.221473427
79	0.220000429
79	0.21999775
79	0.220038388
80	0.22002958
80	0.218559332
80	0.218591195
80	0.218597361
81	0.218587768
81	0.21719006
81	0.217172694
81	0.217226623
82	0.217200381
82	0.215762239
82	0.215766574
82	0.215748017
83	0.215771346
83	0.21435488
83	0.21433983
83	0.214375566
84	0.214362556
84	0.212913956
84	0.212875104
84	0.212918732
85	0.212914867
85	0.211462466
85	0.211461285
85	0.21145817
86	0.211465958
86	0.209937413
86	0.209899611
86	0.209908515
87	0.20990744
87	0.208474369
87	0.208454151
87	0.208470691
88	0.208455243
88	0.207017917
88	0.207026129
88	0.207000803
89	0.207017439
89	0.205570238
89	0.20556678
89	0.20560115
90	0.205603437
90	0.204078613
90	0.204082496
90	0.204053408
91	0.204060776
91	0.202536154
91	0.202569199
91	0.202560725
92	0.202556674
92	0.201059506
92	0.20106775
92	0.201064629
93	0.201058649
93	0.199582189
93	0.199598858
93	0.199617171
94	0.199635816
94	0.19819867
94	0.198187827
94	0.198202945
95	0.198187138
95	0.196727652
95	0.196728563
95	0.196726302
96	0.196734932
96	0.195277163
96	0.195267836
96	0.195282395
97	0.195269014
97	0.193851724
97	0.193880003
97	0.193874125
98	0.193888789
98	0.192484674
98	0.192466327
98	0.1924738
99	0.192467709
99	0.191051638
99	0.191049262
99	0.191047682
100	0.191028353
100	0.189620409
100	0.189610774
100	0.189602396
101	0.189610669
101	0.188185566
101	0.188148784
101	0.188176148
102	0.188189104
102	0.18667762
102	0.186675209
102	0.186652135
103	0.186665118
103	0.185214188
103	0.185212765
103	0.185223189
104	0.18521409
104	0.183769407
104	0.183752309
104	0.18374596
105	0.183748382
105	0.182311005
105	0.182302745
105	0.182305677
106	0.182306126
106	0.180839288
106	0.180827834
106	0.180822979
107	0.180825326
107	0.17929876
107	0.179292406
107	0.179311114
108	0.179312405
108	0.177828715
108	0.177824612
108	0.177799716
109	0.177823363
109	0.176365145
109	0.17638338
109	0.176385767
110	0.176392709
110	0.174935981
110	0.174948096
110	0.174922145
111	0.174933611
111	0.17350693
111	0.173490398
111	0.173489503
112	0.173474398
112	0.172033356
112	0.172039283
112	0.172014739
113	0.172036371
113	0.170594732
113	0.170583166
113	0.170581983
114	0.170599253
114	0.169180394
114	0.169194155
114	0.169179819
115	0.169178423
115	0.167773657
115	0.16777574
115	0.167764552
116	0.1677638
116	0.166321831
116	0.166327855
116	0.166334105
117	0.166334365
117	0.164912034
117	0.164884271
117	0.164890543
118	0.164898231
118	0.163400357
118	0.163399859
118	0.16338733
119	0.16337195
119	0.161963406
119	0.161987363
119	0.161998842
120	0.161992993
120	0.16054644
120	0.16054758
120	0.160573301
121	0.160558274
121	0.159133141
121	0.1591325
121	0.159134663
122	0.159118533
122	0.157598303
122	0.157590322
122	0.15760003
123	0.157601354
123	0.156036333
123	0.156029977
123	0.156023428
124	0.156052232
124	0.154547925
124	0.154529833
124	0.154535454
125	0.154529765
125	0.15306648
125	0.153067586
125	0.153060386
126	0.153064316
126	0.151602762
126	0.151606408
126	0.151613497
127	0.151618569
127	0.150196888
127	0.15019349
127	0.150198229
128	0.150190573
128	0.148711567
128	0.148729055
128	0.148735767
129	0.148724423
129	0.147307691
129	0.147302883
129	0.147298439
130	0.147300209
130	0.145910868
130	0.14589219
130	0.145896378
131	0.145864078
131	0.144496411
131	0.144501106
131	0.144486226
132	0.144484702
132	0.143061423
132	0.143051621
132	0.143049905
133	0.14301369
133	0.141541669
133	0.141559693
133	0.141558395
134	0.141575151
134	0.140036354
134	0.140023473
134	0.140021129
135	0.140031705
135	0.138567037
135	0.13855821
135	0.138553649
136	0.13855973
136	0.137133047
136	0.137126795
136	0.137138745
137	0.137119808
137	0.135676356
137	0.135676469
137	0.135682879
138	0.135685863
138	0.13417972
138	0.134176646
138	0.134183586
139	0.134184629
139	0.132660787
139	0.132663496
139	0.13264363
140	0.132668607
140	0.131152986
140	0.131161724
140	0.131169785
141	0.13117156
141	0.129704361
141	0.129700947
141	0.129695962
142	0.12968313
142	0.128242603
142	0.128278189
142	0.128256224
143	0.12826978
143	0.126802996
143	0.126803539
143	0.12680228
144	0.12678487
144	0.125356205
144	0.125351361
144	0.12533003
145	0.125323391
145	0.12393563
145	0.123933143
145	0.12392204
146	0.123914048
