DAC	thr_voltage
1	0.338630344
1	0.337194858
1	0.337172313
1	0.337129148
2	0.337146047
2	0.335712209
2	0.335725803
2	0.335728524
3	0.335734798
3	0.334269012
3	0.334291043
3	0.334281563
4	0.334269412
4	0.332793937
4	0.332805133
4	0.332822043
5	0.332822844
5	0.331360184
5	0.331354618
5	0.331349055
6	0.331354651
6	0.32983104
6	0.32976308
6	0.329792483
7	0.329826791
7	0.328336385
7	0.328301505
7	0.328310473
8	0.328313908
8	0.326809549
8	0.32681627
8	0.326835892
9	0.326857235
9	0.325387696
9	0.325378153
9	0.325379438
10	0.325360146
10	0.323808757
10	0.323870828
10	0.323871717
11	0.323871333
11	0.322357394
11	0.322340476
11	0.322366392
12	0.322336145
12	0.320817674
12	0.320835993
12	0.320881796
13	0.320912427
13	0.319440728
13	0.31940957
13	0.319391191
14	0.319398001
14	0.317930977
14	0.317931455
14	0.317963776
15	0.317953159
15	0.316441662
15	0.316458542
15	0.316439132
16	0.316418339
16	0.314935871
16	0.314952137
16	0.314910358
17	0.314903526
17	0.313516421
17	0.313510597
17	0.313565919
18	0.313543353
18	0.312071417
18	0.31208756
18	0.312089022
19	0.312074773
19	0.310600662
19	0.310568337
19	0.310569531
20	0.310586436
20	0.309141001
20	0.309142344
20	0.309163662
21	0.309130461
21	0.307659313
21	0.307668952
21	0.307683709
22	0.307644345
22	0.306142634
22	0.306115797
22	0.306124126
23	0.306155358
23	0.304666283
23	0.30467104
23	0.304676576
24	0.304663501
24	0.303208911
24	0.303173608
24	0.303180486
25	0.303182369
25	0.301752784
25	0.301744825
25	0.301745959
26	0.3017524
26	0.30022433
26	0.300242694
26	0.300235276
27	0.300230739
27	0.298710748
27	0.298715099
27	0.298718298
28	0.298727583
28	0.297187546
28	0.297189979
28	0.29719473
29	0.29719372
29	0.295725386
29	0.295731382
29	0.295745354
30	0.295760517
30	0.294271449
30	0.294242662
30	0.294253698
31	0.294263171
31	0.292797072
31	0.292802773
31	0.29278688
32	0.292751592
32	0.29128433
32	0.291247056
32	0.291251566
33	0.291253213
33	0.289825756
33	0.289835118
33	0.289821883
34	0.289803827
34	0.288386196
34	0.288390262
34	0.28841465
35	0.288396666
35	0.286961968
35	0.286968324
35	0.286971916
36	0.286954478
36	0.285536974
36	0.285533186
36	0.285486975
37	0.285514231
37	0.28404209
37	0.284038153
37	0.28404347
38	0.284048083
38	0.282529949
38	0.28253342
38	0.282588479
39	0.282554729
39	0.281078763
39	0.281098859
39	0.281103586
40	0.281077941
40	0.279609328
40	0.279630093
40	0.279614568
41	0.279609466
41	0.278114113
41	0.278106254
41	0.278109873
42	0.278147347
42	0.276636125
42	0.276645831
42	0.276615168
43	0.276600833
43	0.275116123
43	0.275103217
43	0.275106989
44	0.275120361
44	0.273597329
44	0.273583993
44	0.273615667
45	0.273604551
45	0.272126635
45	0.272119615
45	0.272134668
46	0.272137601
46	0.270682875
46	0.270651899
46	0.270642109
47	0.27064844
47	0.269203603
47	0.269187972
47	0.269230361
48	0.269256467
48	0.267731453
48	0.267747818
48	0.267741909
49	0.267752525
49	0.266280883
49	0.26628749
49	0.266267009
50	0.266281305
50	0.264808053
50	0.264824678
50	0.26483648
51	0.264858819
51	0.263399759
51	0.263402874
51	0.263390046
52	0.263394335
52	0.261912833
52	0.26194226
52	0.261920244
53	0.261919117
53	0.260461597
53	0.26048154
53	0.260451708
54	0.26046643
54	0.258924435
54	0.2589412
54	0.258941595
55	0.258948134
55	0.257515268
55	0.257508686
55	0.257504911
56	0.257500209
56	0.256046207
56	0.256059956
56	0.256061755
57	0.256067689
57	0.254583999
57	0.254585029
57	0.254570343
58	0.254581493
58	0.253057228
58	0.253024764
58	0.253000856
59	0.252992849
59	0.251495101
59	0.251487796
59	0.251487989
60	0.251501911
60	0.249994012
60	0.249974827
60	0.24997717
61	0.249965753
61	0.248516555
61	0.24851136
61	0.248511067
62	0.248525959
62	0.247010116
62	0.247051584
62	0.247056366
63	0.247006471
63	0.245550351
63	0.245572916
63	0.24559447
64	0.245600457
64	0.244108171
64	0.244098763
64	0.244060449
65	0.24407181
65	0.242698735
65	0.24266729
65	0.242701799
66	0.242685508
66	0.241223404
66	0.241236407
66	0.241234189
67	0.241209635
67	0.239774249
67	0.239788984
67	0.239777327
68	0.239779443
68	0.238349135
68	0.238313213
68	0.238340401
69	0.238356536
69	0.236887589
69	0.236913421
69	0.236867277
70	0.236875692
70	0.235339795
70	0.235307827
70	0.235326073
71	0.235328363
71	0.233865358
71	0.233871776
71	0.233902731
72	0.233905414
72	0.23243422
72	0.232438191
72	0.232447766
73	0.232448977
73	0.230957212
73	0.230979706
73	0.230999366
74	0.23101058
74	0.229484519
74	0.229470769
74	0.229473258
75	0.229478888
75	0.227943782
75	0.22793132
75	0.227921147
76	0.227903382
76	0.226412229
76	0.226410636
76	0.226379992
77	0.226392265
77	0.224911614
77	0.224946393
77	0.224938685
78	0.224973696
78	0.223481627
78	0.223487727
78	0.223464711
79	0.223469285
79	0.222015291
79	0.222015622
79	0.222019655
80	0.221999197
80	0.220542257
80	0.220530367
80	0.220521955
81	0.220529651
81	0.219086892
81	0.219043117
81	0.219057618
82	0.219070125
82	0.217619101
82	0.217610631
82	0.217618765
83	0.217635291
83	0.216188809
83	0.216199051
83	0.216170163
84	0.216149772
84	0.21469013
84	0.214725234
84	0.214713735
85	0.214723984
85	0.213235369
85	0.213248577
85	0.21324766
86	0.213225903
86	0.211689176
86	0.2116978
86	0.211693359
87	0.211719568
87	0.210244108
87	0.210245145
87	0.21023624
88	0.210226491
88	0.208764559
88	0.208776514
88	0.20877448
89	0.20876373
89	0.20730356
89	0.207315618
89	0.207327125
90	0.207331557
90	0.205805243
90	0.205796026
90	0.205796269
91	0.205808425
91	0.204282846
91	0.20427323
91	0.204289356
92	0.204307812
92	0.202790925
92	0.2027889
92	0.202790611
93	0.202791541
93	0.201327501
93	0.201337478
93	0.201306089
94	0.201310228
94	0.199841148
94	0.199877209
94	0.199863486
95	0.199888114
95	0.198411526
95	0.19840616
95	0.198405828
96	0.198409705
96	0.196920207
96	0.196928751
96	0.196932345
97	0.196936322
97	0.195491177
97	0.195471492
97	0.195466941
98	0.19548434
98	0.19404231
98	0.194037314
98	0.194022762
99	0.194031574
99	0.192590308
99	0.192583614
99	0.192593131
100	0.192593164
100	0.191103825
100	0.191131537
100	0.191120676
101	0.191140773
101	0.189634504
101	0.18964444
101	0.189642655
102	0.189647337
102	0.188113492
102	0.1881173
102	0.188127061
103	0.188114292
103	0.186616839
103	0.186657314
103	0.186661556
104	0.186674793
104	0.185194066
104	0.185201601
104	0.185185096
105	0.185196619
105	0.183748485
105	0.183759141
105	0.183754034
106	0.183743037
106	0.182229089
106	0.18225503
106	0.18225396
107	0.182251874
107	0.180693723
107	0.180705375
107	0.180701407
108	0.18071858
108	0.179210738
108	0.17921552
108	0.179198655
109	0.179221204
109	0.177752073
109	0.177759733
109	0.17777474
110	0.177767591
110	0.176276359
110	0.176295122
110	0.176282224
111	0.176291552
111	0.174834324
111	0.174819463
111	0.174811252
112	0.17481613
112	0.17334423
112	0.173352388
112	0.17336457
113	0.173360367
113	0.171906354
113	0.171903492
113	0.171915798
114	0.171901799
114	0.17045872
114	0.17045218
114	0.170479665
115	0.170463933
115	0.169015682
115	0.169003153
115	0.169028473
116	0.169024951
116	0.167560533
116	0.167583442
116	0.167568923
117	0.167571238
117	0.166111973
117	0.166122974
117	0.16611669
118	0.166119608
118	0.164580106
118	0.16457723
118	0.164581485
119	0.164590722
119	0.163131573
119	0.163141275
119	0.163148434
120	0.163151628
120	0.161698085
120	0.161702778
120	0.16169659
121	0.161692857
121	0.160227868
121	0.160217964
121	0.160209613
122	0.160216508
122	0.158702259
122	0.158707754
122	0.158703118
123	0.158710067
123	0.157171898
123	0.157171959
123	0.157175394
124	0.157149825
124	0.155607877
124	0.155624845
124	0.155624202
125	0.155610634
125	0.154147064
125	0.154146105
125	0.154143449
126	0.154158121
126	0.152672647
126	0.152685811
126	0.152676734
127	0.152696798
127	0.151227021
127	0.151228639
127	0.151227069
128	0.151210452
128	0.149749325
128	0.149740901
128	0.149739465
129	0.149741172
129	0.148299449
129	0.148293058
129	0.148299656
130	0.148304148
130	0.146846467
130	0.146841078
130	0.146858459
131	0.146863695
131	0.145427688
131	0.145434898
131	0.14542139
132	0.145399803
132	0.14396439
132	0.143978914
132	0.143975004
133	0.143975572
133	0.142492373
133	0.142507186
133	0.142503616
134	0.142492327
134	0.14099068
134	0.140989406
134	0.140983102
135	0.140987515
135	0.139492162
135	0.139482586
135	0.139488737
136	0.139475261
136	0.138021571
136	0.138019794
136	0.138021486
137	0.138027461
137	0.136577303
137	0.136575869
137	0.136558158
138	0.136546336
138	0.135049573
138	0.135057325
138	0.135058925
139	0.135058638
139	0.133525052
139	0.133527269
139	0.133512257
140	0.133513948
140	0.132000221
140	0.131996021
140	0.132004355
141	0.132006956
141	0.130533507
141	0.130528755
141	0.130533113
142	0.13054916
142	0.129073725
142	0.129070608
142	0.129067018
143	0.129081778
143	0.127606572
143	0.127599701
143	0.127593695
144	0.127595492
144	0.126121645
144	0.126133435
144	0.126145894
145	0.126131639
145	0.124684877
145	0.124697176
145	0.124695775
146	0.124717208
146	0.123271365
146	0.123257537
146	0.123246528
147	0.123237513
147	0.121767352
147	0.121771554
147	0.121784955
148	0.121786798
148	0.120347807
148	0.120343
148	0.120347162
149	0.120347937
149	0.118851271
149	0.118864456
149	0.118863082
150	0.118846809
150	0.117339779
150	0.117335116
150	0.117352627
151	0.117361388
151	0.115889955
151	0.115873883
151	0.115876111
152	0.115869499
152	0.114407499
152	0.114408788
152	0.114404736
153	0.114406871
153	0.11295499
153	0.112961256
153	0.112944194
154	0.112956828
154	0.111432369
154	0.11143067
154	0.111434121
155	0.111431632
155	0.109911009
155	0.109921099
155	0.109900314
156	0.109905735
156	0.108397489
156	0.108390161
156	0.10840205
157	0.108404623
157	0.106940019
157	0.106938364
157	0.106935505
158	0.106938386
158	0.105472664
158	0.105455574
158	0.105475744
159	0.10547113
159	0.104000653
159	0.10399301
159	0.103992923
160	0.103996316
160	0.102527493
160	0.102517862
160	0.102524991
161	0.102540448
161	0.101094244
161	0.101078643
161	0.101074367
162	0.101084957
162	0.0995895578
162	0.0995994454
162	0.0995770062
163	0.0995799969
163	0.0981429598
163	0.0981399134
163	0.0981496528
164	0.0981508221
164	0.0967024401
164	0.0967014913
164	0.0966942443
165	0.0966966678
165	0.0952378639
165	0.0952396659
165	0.0952432752
166	0.0952322578
166	0.0937282812
166	0.0937277967
166	0.0937292989
167	0.0937173176
167	0.0922674382
167	0.0922653278
167	0.0922676334
168	0.0922727961
168	0.0908055154
168	0.0907921677
168	0.0907985981
169	0.0908046404
169	0.0893363983
169	0.0893441172
169	0.0893390565
170	0.0893402287
170	0.0878343196
170	0.0878285555
170	0.0878405228
171	0.0878316506
171	0.0862837196
171	0.0862848219
171	0.0862921641
172	0.0862858473
172	0.0847778034
172	0.0847725611
172	0.0847692125
173	0.0847848862
173	0.0833131347
173	0.0833201355
173	0.0833133836
174	0.0833182
174	0.0818438178
174	0.0818501877
174	0.0818459131
175	0.081838511
175	0.0803715165
175	0.0803699851
175	0.0803750044
176	0.080366217
176	0.0788858792
176	0.0788922831
176	0.0788884433
177	0.0789033275
177	0.0774638507
177	0.0774720968
177	0.0774702858
178	0.0774756561
178	0.0760369008
178	0.076044892
178	0.0760457206
179	0.0760456895
179	0.0746027429
179	0.074600886
179	0.0745963167
180	0.0746010623
180	0.0731530675
180	0.0731510002
180	0.0731500142
181	0.0731549961
181	0.071712189
181	0.0717095856
181	0.0717109876
182	0.0717100979
182	0.0702004753
182	0.0702012059
182	0.0701994226
183	0.0701977091
183	0.0687395356
183	0.0687386061
183	0.0687303
184	0.0687399592
184	0.0672619943
184	0.0672567077
184	0.0672616732
185	0.0672587172
185	0.0658045885
185	0.0657920021
185	0.0657956439
186	0.065794543
186	0.0642808045
186	0.0642790566
186	0.0642715945
187	0.0642737511
187	0.0627348953
187	0.0627311395
187	0.0627315302
188	0.0627304446
188	0.0612131333
188	0.061217649
188	0.0612152297
189	0.0612211224
189	0.0597502308
189	0.0597523339
189	0.0597475467
190	0.0597531841
190	0.0582972973
190	0.0582967499
190	0.058301258
191	0.0582982808
191	0.0568240882
191	0.0568247458
191	0.0568329273
192	0.0568338782
192	0.0553567367
192	0.0553504713
192	0.055342627
193	0.0553546729
193	0.0539248852
193	0.0539210392
193	0.0539211258
194	0.0539297349
194	0.052478209
194	0.0524738447
194	0.0524748946
195	0.0524813321
195	0.0510000523
195	0.0509996985
195	0.0509987026
196	0.0510004589
196	0.0495533869
196	0.049560353
196	0.0495583639
197	0.0495539532
197	0.0480940555
197	0.0480942493
197	0.048092534
198	0.0480915638
198	0.0465907712
198	0.0465901885
198	0.0465853992
199	0.0465833412
199	0.045131475
199	0.0451321496
199	0.045127655
200	0.0451262428
200	0.0436737535
200	0.0436774418
200	0.0436736475
201	0.0436733864
201	0.0422213627
201	0.0422236097
201	0.042220219
202	0.0422255135
202	0.0407076506
202	0.040708786
202	0.0407010292
203	0.0407026416
203	0.0391833955
203	0.0391877731
203	0.039184513
204	0.0391900219
204	0.0376654345
204	0.0376648189
204	0.0376691885
205	0.037665255
205	0.0361944337
205	0.0361922826
205	0.0361876996
206	0.036191937
206	0.0347242625
206	0.034726669
206	0.0347319219
207	0.0347335161
207	0.033282378
207	0.0332852844
207	0.0332861665
208	0.0332884047
208	0.0318054869
208	0.0318084516
208	0.0318089648
209	0.0318039005
209	0.0303560023
209	0.0303583148
209	0.0303552392
210	0.0303570745
210	0.0289171664
210	0.028920655
210	0.0289214831
211	0.0289234354
211	0.0274813307
211	0.0274814546
211	0.0274850404
212	0.0274792692
212	0.0260287425
212	0.0260234348
212	0.0260250159
213	0.0260326074
213	0.0245665113
213	0.0245627056
213	0.024566053
214	0.0245683161
214	0.023070107
214	0.0230651796
214	0.0230679742
215	0.0230677049
215	0.0216056157
215	0.0216089427
215	0.0216071648
216	0.021607648
216	0.0201525249
216	0.0201567
216	0.0201564605
217	0.0201582671
217	0.0186929514
217	0.0186873308
217	0.018694059
218	0.0186916694
218	0.0171664621
218	0.0171669567
218	0.0171664647
219	0.0171704768
219	0.015606913
219	0.0156041622
219	0.0156066471
220	0.0156038662
220	0.0140839194
220	0.014076754
220	0.0140796862
221	0.0140808811
221	0.0126149249
221	0.0126141786
221	0.0126148683
222	0.0126178381
222	0.0111583035
222	0.0111584476
222	0.0111573258
223	0.01115803
223	0.00970760016
223	0.00969673154
223	0.00970079932
224	0.00970322693
224	0.00819572413
224	0.00818922254
224	0.00818811952
225	0.0081930761
225	0.00677318862
225	0.00677416476
225	0.00677500507
226	0.00677549924
226	0.00532889448
226	0.00532806337
226	0.00532898458
227	0.00532611728
227	0.00387520227
227	0.00387816151
227	0.00387874095
228	0.00388057809
228	0.00244350083
228	0.00244264397
228	0.00244215808
229	0.00244771226
229	0.000987173931
229	0.000986897658
229	0.000983317842
230	0.000985302773
230	-0.000518232882
230	-0.000516449064
230	-0.000515620248
231	-0.000519006536
231	-0.00196408395
231	-0.00196377136
231	-0.0019651695
232	-0.00196394145
232	-0.00341010648
232	-0.00341235527
232	-0.00341560595
233	-0.00341554573
233	-0.00485665534
233	-0.0048573235
233	-0.00485889655
234	-0.00485465616
234	-0.00634670627
234	-0.00634870292
234	-0.00634736477
235	-0.00634487051
235	-0.00785549681
235	-0.00785399846
235	-0.00785287085
236	-0.00785152259
236	-0.00936787889
236	-0.00936546094
236	-0.00936957583
237	-0.00937130724
237	-0.0108609302
237	-0.0108571017
237	-0.0108583982
238	-0.0108578142
238	-0.0123066916
238	-0.0123041844
238	-0.0123032255
