DAC	thr_voltage
1	0.339304877
1	0.337895614
1	0.337893153
1	0.337852966
2	0.337905508
2	0.336382115
2	0.33642422
2	0.336400756
3	0.336371267
3	0.334903657
3	0.334913629
3	0.334938463
4	0.334909677
4	0.333456394
4	0.333488131
4	0.333470151
5	0.333462156
5	0.331977737
5	0.332007353
5	0.331981974
6	0.331970367
6	0.330477709
6	0.330460014
6	0.330454679
7	0.330507418
7	0.329009733
7	0.328986736
7	0.328990364
8	0.328980772
8	0.327525967
8	0.327537613
8	0.327511363
9	0.327515806
9	0.326060073
9	0.326034868
9	0.326045088
10	0.326058395
10	0.324515853
10	0.324539426
10	0.324538893
11	0.324542508
11	0.323017444
11	0.323045112
11	0.323033382
12	0.323025106
12	0.321558005
12	0.32151631
12	0.32149577
13	0.321489329
13	0.320019099
13	0.320013184
13	0.320033589
14	0.320006363
14	0.318535767
14	0.318528748
14	0.318597076
15	0.318573437
15	0.317105183
15	0.317081181
15	0.317087015
16	0.317079467
16	0.315605073
16	0.315618479
16	0.315611783
17	0.315610246
17	0.314161719
17	0.314141376
17	0.314165888
18	0.31415437
18	0.312710269
18	0.312751126
18	0.312717495
19	0.312727603
19	0.311277656
19	0.311251653
19	0.311274888
20	0.311280447
20	0.309799831
20	0.309810072
20	0.309797053
21	0.309780442
21	0.308297478
21	0.308321658
21	0.308331359
22	0.308293729
22	0.306760316
22	0.306733976
22	0.306729054
23	0.306743328
23	0.305252915
23	0.305295771
23	0.305228514
24	0.305300091
24	0.303803688
24	0.303780903
24	0.3037841
25	0.303767493
25	0.302324922
25	0.302325212
25	0.302319503
26	0.302333924
26	0.300847531
26	0.3008122
26	0.300772972
27	0.300785154
27	0.299249824
27	0.299259867
27	0.299282077
28	0.299307117
28	0.297761963
28	0.297775393
28	0.297789307
29	0.297768139
29	0.296340709
29	0.296322305
29	0.296291816
30	0.296278594
30	0.294784195
30	0.294763485
30	0.294807922
31	0.294805965
31	0.293313255
31	0.293315732
31	0.293319061
32	0.293322743
32	0.291843069
32	0.291845789
32	0.291825068
33	0.291812702
33	0.290377143
33	0.29036098
33	0.290377729
34	0.290365595
34	0.288920437
34	0.288930144
34	0.288915776
35	0.288943518
35	0.287482636
35	0.287505762
35	0.287475162
36	0.287468012
36	0.286001295
36	0.286002137
36	0.286050303
37	0.286049447
37	0.284590422
37	0.28461372
37	0.284588924
38	0.284571266
38	0.283070374
38	0.283085545
38	0.283086946
39	0.28311519
39	0.281634218
39	0.28164547
39	0.281636628
40	0.281679187
40	0.2801823
40	0.280161404
40	0.280184514
41	0.280184868
41	0.278733766
41	0.278733306
41	0.278712376
42	0.27873093
42	0.277192887
42	0.277198851
42	0.277192387
43	0.277187037
43	0.275647382
43	0.27566098
43	0.275662631
44	0.275703076
44	0.274157652
44	0.274128456
44	0.274116554
45	0.274088525
45	0.272631715
45	0.272655555
45	0.272671396
46	0.272658613
46	0.271221791
46	0.27119221
46	0.271181671
47	0.271197173
47	0.269748612
47	0.269735172
47	0.269733671
48	0.269720625
48	0.268209769
48	0.268224379
48	0.268229442
49	0.268231841
49	0.266796201
49	0.266788117
49	0.266795324
50	0.266788419
50	0.265361077
50	0.265334985
50	0.265329968
51	0.265367912
51	0.263884391
51	0.263904196
51	0.263921902
52	0.263906926
52	0.262425003
52	0.262446064
52	0.262438074
53	0.262431223
53	0.260983294
53	0.260982707
53	0.260972288
54	0.260956076
54	0.259445249
54	0.259464335
54	0.259441028
55	0.259442245
55	0.257975569
55	0.257967743
55	0.257993593
56	0.257974654
56	0.256501608
56	0.256512526
56	0.256503625
57	0.256507477
57	0.254989691
57	0.255006683
57	0.254995233
58	0.255001368
58	0.253505291
58	0.253505676
58	0.253479302
59	0.253482618
59	0.251922793
59	0.251928179
59	0.251948212
60	0.251932073
60	0.250442518
60	0.250466093
60	0.250448098
61	0.250442736
61	0.248981253
61	0.248969797
61	0.248968504
62	0.24897869
62	0.247496618
62	0.247457272
62	0.247480077
63	0.247504591
63	0.246026347
63	0.246026876
63	0.246041116
64	0.24600926
64	0.244533972
64	0.244565356
64	0.244539048
65	0.244527041
65	0.243116974
65	0.243120324
65	0.243103101
66	0.243115835
66	0.241647852
66	0.24163087
66	0.241659133
67	0.241627894
67	0.240188357
67	0.240167818
67	0.240160408
68	0.24018916
68	0.238764846
68	0.238764562
68	0.238744065
69	0.238751671
69	0.237257099
69	0.237211038
69	0.237251804
70	0.237248741
70	0.235701999
70	0.235708894
70	0.235704154
71	0.235710871
71	0.234251058
71	0.234286344
71	0.234269089
72	0.234245548
72	0.232795989
72	0.232803913
72	0.232770955
73	0.232775446
73	0.231323443
73	0.231330495
73	0.231338504
74	0.231313767
74	0.229769036
74	0.229808421
74	0.229807578
75	0.229807351
75	0.228239089
75	0.228219508
75	0.228252382
76	0.228263324
76	0.226737136
76	0.226731012
76	0.226736447
77	0.226752213
77	0.225283627
77	0.225279977
77	0.225290552
78	0.225278636
78	0.22382091
78	0.22380108
78	0.223837078
79	0.223852985
79	0.222356592
79	0.222361041
79	0.22234804
80	0.222355824
80	0.220880103
80	0.2208727
80	0.220844241
81	0.220853745
81	0.219407221
81	0.219403386
81	0.219408077
82	0.219439713
82	0.217961316
82	0.217958812
82	0.217953443
83	0.217965371
83	0.216511961
83	0.216518297
83	0.216502998
84	0.216503987
84	0.215050215
84	0.215051966
84	0.215028994
85	0.215022742
85	0.213518174
85	0.213543609
85	0.213546266
86	0.213549035
86	0.212031064
86	0.212042705
86	0.212040825
87	0.212032388
87	0.210576859
87	0.2105747
87	0.210585159
88	0.210561446
88	0.209096974
88	0.209084851
88	0.209088947
89	0.209069041
89	0.207586221
89	0.207585358
89	0.207588694
90	0.207597814
90	0.20609147
90	0.206094024
90	0.206077274
91	0.206062432
91	0.204558557
91	0.204538273
91	0.204534828
92	0.204527308
92	0.203064108
92	0.203080772
92	0.203056133
93	0.203043824
93	0.201565931
93	0.201565913
93	0.201570251
94	0.201565951
94	0.200110599
94	0.200087562
94	0.200100124
95	0.200061536
95	0.198629739
95	0.198617762
95	0.198636701
96	0.198647671
96	0.19718899
96	0.197174653
96	0.19718615
97	0.197193948
97	0.195736937
97	0.19572329
97	0.195727756
98	0.195719691
98	0.194285047
98	0.194298094
98	0.194307856
99	0.194296589
99	0.192835341
99	0.192858237
99	0.19284606
100	0.192854178
100	0.191403481
100	0.191397918
100	0.191407741
101	0.191399143
101	0.189926628
101	0.189925992
101	0.189915872
102	0.189937954
102	0.188401461
102	0.188405734
102	0.188404161
103	0.188387066
103	0.186917754
103	0.186924004
103	0.18692861
104	0.186947105
104	0.185475849
104	0.185462332
104	0.185469878
105	0.185447142
105	0.184000168
105	0.183996214
105	0.184017704
106	0.184035932
106	0.18249404
106	0.182527516
106	0.182524565
107	0.182513088
107	0.180970491
107	0.181005685
107	0.181001724
108	0.180985536
108	0.17947609
108	0.179461264
108	0.179447064
109	0.179452205
109	0.177984018
109	0.177995621
109	0.178004601
110	0.177984621
110	0.176510438
110	0.176510587
110	0.176497635
111	0.176512141
111	0.175023333
111	0.175032677
111	0.175030203
112	0.17501387
112	0.173550846
112	0.173559008
112	0.173555214
113	0.173556112
113	0.172083235
113	0.172098653
113	0.172084266
114	0.172094238
114	0.170636892
114	0.170659461
114	0.170658734
115	0.170633501
115	0.169189531
115	0.169209653
115	0.169196803
116	0.169185043
116	0.167730868
116	0.167747014
116	0.167749481
117	0.167751867
117	0.166282052
117	0.166285359
117	0.166291606
118	0.166282899
118	0.164744801
118	0.164770828
118	0.164776568
119	0.164747231
119	0.163294687
119	0.163309752
119	0.163305394
120	0.163309104
120	0.161838115
120	0.161828812
120	0.161828036
121	0.161842282
121	0.160371504
121	0.16035269
121	0.160354224
122	0.160349183
122	0.158828997
122	0.158833212
122	0.158817362
