ch	pt	CAL_V	mean	std	median	outliers	mean_w/o_out	std_w/o_out	samples
 0	 0	   10	 100.81	 4.343	101.0	  4	 100.89	 3.349	 100
 0	 0	   20	 103.87	 4.980	104.0	  6	 103.87	 2.822	 100
 0	 0	   30	 106.72	 4.100	107.0	  6	 106.89	 2.686	 100
 0	 0	   40	 110.35	 4.423	110.5	  6	 110.53	 2.719	 100
 0	 0	   50	 113.46	 4.335	113.0	  6	 112.93	 3.077	 100
 0	 0	   60	 115.98	 4.784	116.0	  5	 116.22	 2.753	 100
 0	 0	   70	 118.71	 4.365	118.0	  6	 118.35	 3.124	 100
 0	 0	   80	 122.92	 3.700	123.0	  3	 122.78	 2.934	 100
 0	 0	   90	 125.28	 5.065	125.0	  4	 125.62	 4.035	 100
 0	 0	  100	 128.17	 4.100	129.0	  5	 128.24	 2.953	 100
 0	 0	  200	 156.03	 5.447	155.5	 11	 155.48	 3.000	 100
 0	 0	  300	 179.80	 4.573	180.0	  9	 180.14	 2.920	 100
 0	 0	  400	 201.65	 4.359	202.0	  7	 201.72	 3.275	 100
 0	 0	  500	 218.39	 3.567	218.0	  2	 218.19	 3.323	 100
 0	 0	  600	 234.80	 4.163	235.0	  0	 234.80	 4.163	 100
 0	 0	  700	 249.06	 4.761	249.0	  0	 249.06	 4.761	 100
 0	 0	  800	 263.88	 4.749	264.0	  3	 264.06	 3.905	 100
 0	 0	  900	 276.19	 4.329	277.0	  1	 276.33	 4.106	 100
 0	 0	 1000	 287.55	 4.393	288.0	  1	 287.39	 4.128	 100
 0	 0	 1200	 308.99	 5.738	309.0	  1	 309.20	 5.359	 100
 0	 0	 1400	 328.33	 4.376	329.0	  0	 328.33	 4.376	 100
 0	 0	 1600	 345.11	 4.065	345.0	  1	 344.97	 3.834	 100
 0	 0	 1800	 362.16	 5.041	362.0	  0	 362.16	 5.041	 100
 0	 0	 2000	 376.24	 4.575	376.0	  0	 376.24	 4.575	 100
 0	 0	 4000	 482.67	 5.547	483.0	  2	 482.61	 5.062	 100
 0	 0	 6000	 555.01	 5.246	555.0	  2	 554.63	 4.544	 100
