ch	pt	CAL_V	mean	std	median	outliers	mean_w/o_out	std_w/o_out	samples
 0	 0	   10	 114.73	 2.662	114.0	  3	 114.65	 2.170	 100
 0	 0	   20	 115.91	 2.868	116.0	  3	 115.79	 2.259	 100
 0	 0	   30	 117.30	 2.827	117.0	 11	 117.16	 1.685	 100
 0	 0	   40	 119.25	 2.914	119.0	  4	 118.85	 2.205	 100
 0	 0	   50	 120.29	 2.935	120.0	  9	 120.27	 1.660	 100
 0	 0	   60	 121.48	 2.615	122.0	  8	 121.64	 1.733	 100
 0	 0	   70	 123.00	 2.344	123.0	  7	 122.77	 1.589	 100
 0	 0	   80	 124.13	 2.856	124.0	  3	 123.84	 2.335	 100
 0	 0	   90	 125.08	 2.905	125.0	  2	 125.07	 2.425	 100
 0	 0	  100	 127.34	 2.771	127.0	  1	 127.25	 2.643	 100
 0	 0	  200	 139.43	 2.768	139.0	  8	 139.39	 1.576	 100
 0	 0	  300	 150.57	 2.879	150.0	  9	 150.55	 1.911	 100
 0	 0	  400	 162.42	 2.896	162.0	  9	 162.42	 1.764	 100
 0	 0	  500	 173.68	 3.061	174.0	 10	 173.97	 1.940	 100
 0	 0	  600	 184.95	 3.069	185.0	 10	 185.04	 1.948	 100
 0	 0	  700	 196.35	 3.546	196.0	  6	 195.93	 2.554	 100
 0	 0	  800	 205.78	 2.623	206.0	  0	 205.78	 2.623	 100
 0	 0	  900	 215.65	 2.837	216.0	  2	 215.45	 2.483	 100
 0	 0	 1000	 224.20	 2.832	224.5	  1	 224.10	 2.667	 100
 0	 0	 1200	 243.41	 2.961	243.5	  1	 243.27	 2.637	 100
 0	 0	 1400	 261.12	 3.477	261.0	  5	 261.25	 2.625	 100
 0	 0	 1600	 276.12	 2.812	276.0	  0	 276.12	 2.812	 100
 0	 0	 1800	 291.06	 3.234	291.0	  1	 291.15	 3.118	 100
 0	 0	 2000	 305.03	 3.719	305.0	  0	 305.03	 3.719	 100
 0	 0	 4000	 414.99	 3.555	416.0	  0	 414.99	 3.555	 100
 0	 0	 6000	 492.10	 3.860	492.0	  3	 492.05	 3.308	 100
 0	 0	 8000	 555.99	 3.815	556.5	  0	 555.99	 3.815	 100
 0	 0	10000	 607.47	 3.953	608.0	  2	 607.72	 3.549	 100
 0	 0	12000	 653.73	 3.811	653.5	  2	 654.01	 3.282	 100
 0	 0	14000	 696.31	 4.087	697.0	  5	 696.82	 3.504	 100
 0	 0	16000	 733.81	 3.789	734.0	  0	 733.81	 3.789	 100
 0	 0	18000	 770.99	 4.850	772.0	 12	 771.65	 3.540	 100
