ch	pt	CAL_V	mean	std	median	outliers	mean_w/o_out	std_w/o_out	samples
 0	 0	   10	 117.49	41.850	110.0	 21	 109.37	 7.149	 100
 0	 0	   20	 125.24	43.453	117.5	 22	 116.09	 8.286	 100
 0	 0	   30	 124.54	27.991	126.0	 18	 125.70	 6.322	 100
 0	 0	   40	 136.34	28.253	136.0	 12	 135.15	10.027	 100
 0	 0	   50	 143.80	28.247	143.5	 16	 143.55	 8.893	 100
 0	 0	   60	 153.23	36.441	151.0	 18	 150.83	10.534	 100
 0	 0	   70	 166.81	40.039	163.0	 18	 163.39	11.046	 100
 0	 0	   80	 172.76	25.397	170.0	 20	 171.11	 7.156	 100
 0	 0	   90	 171.58	37.794	178.5	 17	 180.51	10.067	 100
 0	 0	  100	 189.79	42.480	191.5	 18	 192.44	 7.572	 100
 0	 0	  200	 290.19	40.969	285.5	 14	 284.48	 9.354	 100
 0	 0	  300	 375.95	30.490	373.5	 18	 373.44	 7.958	 100
 0	 0	  400	 452.52	29.017	454.0	 16	 453.82	10.122	 100
 0	 0	  500	 527.79	27.520	526.0	 14	 526.41	 8.178	 100
 0	 0	  600	 583.99	23.011	582.0	 17	 581.12	 7.324	 100
 0	 0	  700	 630.13	23.499	626.5	 16	 625.71	 7.741	 100
 0	 0	  800	 660.78	23.534	661.0	 18	 660.61	 6.249	 100
 0	 0	  900	 690.10	29.190	687.0	 12	 686.86	 7.980	 100
 0	 0	 1000	 707.57	23.334	708.0	 17	 707.25	 5.041	 100
 0	 0	 1200	 738.90	23.817	739.0	 15	 737.95	 6.911	 100
 0	 0	 1400	 761.46	25.925	763.0	 17	 763.10	 6.968	 100
 0	 0	 1600	 788.15	30.610	786.0	 16	 785.17	 6.931	 100
 0	 0	 1800	 805.92	18.560	805.0	 13	 803.77	 8.243	 100
 0	 0	 2000	 817.38	23.663	820.0	 20	 820.12	 4.910	 100
 0	 0	 4000	 945.83	28.410	946.0	 18	 944.93	 7.774	 100
 0	 0	 6000	1025.71	15.750	1028.0	 13	1027.84	 7.348	 100
 0	 0	 8000	1082.90	22.763	1084.5	 10	1083.73	 8.115	 100
 0	 0	10000	1134.44	24.540	1133.0	 15	1133.49	 7.349	 100
 0	 0	12000	1175.64	25.282	1175.0	 15	1176.01	 6.423	 100
 0	 0	14000	1212.25	19.574	1213.0	 19	1213.70	 5.224	 100
 0	 0	16000	1247.29	20.572	1249.0	 18	1248.10	 5.581	 100
 0	 0	18000	1281.57	14.807	1282.0	 14	1282.76	 6.996	 100
 0	 0	20000	1316.69	23.121	1314.0	 17	1313.80	 5.572	 100
 0	 0	22000	1343.40	18.957	1342.0	 11	1342.08	 5.995	 100
 0	 0	24000	1373.79	27.731	1370.0	 18	1369.55	 6.329	 100
 0	 0	26000	1398.27	22.063	1397.0	 18	1397.78	 6.033	 100
 0	 0	28000	1425.90	20.733	1425.0	 17	1424.72	 6.137	 100
 0	 0	30000	1451.33	18.561	1451.0	 18	1451.32	 4.763	 100
 0	 0	32000	1474.01	17.438	1476.5	 20	1476.40	 5.942	 100
 0	 0	34000	1498.05	23.956	1499.5	 17	1499.40	 8.142	 100
 0	 0	36000	1525.96	22.326	1525.0	 17	1526.22	 4.882	 100
 0	 0	38000	1552.38	23.192	1550.0	 16	1549.61	 6.166	 100
 0	 0	40000	1573.62	18.929	1573.5	 13	1572.23	 6.902	 100
 0	 0	42000	1597.14	23.953	1596.5	 17	1596.10	 6.332	 100
 0	 0	44000	1619.66	26.532	1619.0	 11	1618.15	 7.185	 100
 0	 0	46000	1640.09	19.964	1641.0	 13	1640.95	 6.854	 100
 0	 0	48000	1662.07	17.171	1663.0	  7	1662.09	 7.510	 100
 0	 0	50000	1685.40	16.702	1685.0	 16	1685.23	 5.574	 100
 0	 0	52000	1707.77	24.630	1707.0	 11	1707.25	 5.781	 100
 0	 0	54000	1728.29	19.777	1728.0	 11	1728.63	 7.540	 100
 0	 0	56000	1753.15	26.408	1750.0	 16	1750.06	 6.650	 100
 0	 0	58000	1773.42	19.629	1772.0	 14	1771.85	 7.405	 100
 0	 0	60000	1793.26	22.158	1793.5	 15	1791.72	 6.996	 100
 0	 0	62000	1814.18	25.423	1814.0	 16	1814.38	 6.930	 100
 0	 0	64000	1836.98	17.375	1835.0	 10	1835.64	 7.052	 100
 0	 1	   10	 119.91	29.350	114.0	 14	 115.28	 7.179	 100
 0	 1	   20	 123.75	24.667	122.0	 13	 121.86	 7.465	 100
 0	 1	   30	 128.59	23.515	130.0	 17	 131.07	 7.475	 100
 0	 1	   40	 140.99	25.406	141.0	 14	 142.41	 6.310	 100
 0	 1	   50	 155.04	34.762	153.0	 20	 153.11	 7.071	 100
 0	 1	   60	 167.18	28.559	164.0	 15	 162.87	 7.027	 100
