ch	pt	CAL_V	mean	std	median	outliers	mean_w/o_out	std_w/o_out	samples
 0	 0	   10	 126.36	41.106	124.0	 22	 123.21	 8.607	 100
 0	 0	   20	 135.00	35.830	133.0	 14	 133.79	 7.917	 100
 0	 0	   30	 138.88	47.303	139.5	 22	 139.65	 9.097	 100
 0	 0	   40	 146.28	35.914	148.0	 19	 148.48	 8.404	 100
 0	 0	   50	 154.69	46.371	157.0	 17	 156.57	10.390	 100
 0	 0	   60	 177.52	49.477	168.0	 17	 166.66	 8.665	 100
 0	 0	   70	 172.89	51.271	177.0	 20	 177.39	 9.810	 100
 0	 0	   80	 185.37	38.330	186.0	 19	 185.98	10.101	 100
 0	 0	   90	 185.47	41.962	194.0	 16	 193.96	11.441	 100
 0	 0	  100	 194.24	49.437	202.0	 18	 204.67	 9.886	 100
 0	 0	  200	 304.94	44.695	304.5	 17	 303.47	 9.455	 100
 0	 0	  300	 390.93	55.433	397.0	 18	 397.32	10.034	 100
 0	 0	  400	 488.46	43.247	485.0	 16	 483.80	10.434	 100
 0	 0	  500	 568.29	39.754	568.0	 22	 567.50	 7.151	 100
 0	 0	  600	 642.41	29.223	639.5	 14	 638.49	 8.731	 100
 0	 0	  700	 704.74	38.046	703.5	 16	 702.56	 6.965	 100
 0	 0	  800	 755.92	28.665	754.5	 14	 754.08	 9.335	 100
 0	 0	  900	 801.15	25.909	798.0	 19	 796.95	 6.542	 100
 0	 0	 1000	 843.17	44.083	835.5	 17	 835.43	 8.426	 100
 0	 0	 1200	 888.22	26.582	887.5	 16	 887.43	 8.391	 100
 0	 0	 1400	 927.70	31.915	926.0	 17	 925.95	 8.173	 100
 0	 0	 1600	 957.43	34.006	955.0	 24	 953.74	 8.412	 100
 0	 0	 1800	 978.90	24.036	979.0	 16	 977.89	 8.142	 100
 0	 0	 2000	1007.42	37.898	1002.0	 21	1000.48	 8.963	 100
 0	 0	 4000	1147.07	29.681	1147.0	 17	1147.07	 8.152	 100
 0	 0	 6000	1239.04	31.031	1237.0	 18	1235.01	 7.067	 100
 0	 0	 8000	1307.79	27.047	1304.0	 17	1302.42	 8.236	 100
 0	 0	10000	1362.88	30.813	1361.0	 21	1359.11	 7.292	 100
 0	 0	12000	1407.12	26.144	1407.0	 13	1406.18	 8.037	 100
 0	 0	14000	1451.31	30.491	1451.0	 16	1451.87	 8.144	 100
 0	 0	16000	1493.95	23.511	1493.0	 13	1491.52	 9.668	 100
 0	 0	18000	1536.71	37.365	1528.0	 19	1526.68	 8.241	 100
 0	 0	20000	1565.49	22.019	1565.0	 15	1564.82	 6.934	 100
 0	 0	22000	1596.28	25.516	1597.5	 15	1596.40	 9.163	 100
 0	 0	24000	1632.98	26.637	1631.0	 15	1629.81	 7.872	 100
 0	 0	26000	1661.16	25.340	1659.5	 18	1658.95	 7.482	 100
 0	 0	28000	1693.63	28.576	1690.0	 16	1688.69	 7.982	 100
 0	 0	30000	1719.16	23.908	1717.0	 16	1716.35	 7.410	 100
 0	 0	32000	1752.19	28.146	1747.0	 17	1746.22	 6.202	 100
 0	 0	34000	1772.56	19.276	1773.0	 12	1772.09	 8.795	 100
 0	 0	36000	1798.18	20.481	1800.0	 13	1798.13	 7.991	 100
 0	 0	38000	1827.98	27.473	1823.0	 17	1822.71	 6.146	 100
 0	 0	40000	1843.48	16.299	1846.0	 10	1846.04	 7.288	 100
 0	 0	42000	1868.76	22.463	1870.0	 17	1870.24	 6.486	 100
 0	 0	44000	1891.87	25.396	1890.0	 13	1890.29	 9.350	 100
 0	 0	46000	1912.97	18.791	1913.0	 16	1912.40	 5.746	 100
 0	 0	48000	1932.06	19.388	1931.0	 16	1929.62	 6.315	 100
 0	 0	50000	1949.00	17.967	1949.0	 16	1947.21	 5.556	 100
 0	 0	52000	1968.17	15.272	1966.0	 10	1965.73	 6.463	 100
 0	 0	54000	1981.75	14.457	1981.0	 20	1979.74	 4.194	 100
 0	 0	56000	1995.79	10.326	1994.5	 15	1994.18	 3.619	 100
 0	 0	58000	2004.46	13.077	2005.0	 17	2004.60	 4.257	 100
 0	 0	60000	2013.20	 9.321	2014.0	 28	2014.32	 1.798	 100
 0	 0	62000	2020.90	 6.004	2021.0	 23	2021.42	 1.689	 100
 0	 0	64000	2026.75	 5.600	2027.0	 20	2026.79	 1.597	 100
 0	 1	   10	 132.04	34.088	131.0	 19	 129.99	 7.427	 100
 0	 1	   20	 136.45	32.248	136.0	 20	 137.15	 7.217	 100
 0	 1	   30	 148.64	30.415	149.0	 14	 149.03	 5.965	 100
 0	 1	   40	 155.14	27.622	160.0	 19	 159.81	 5.719	 100
 0	 1	   50	 164.83	34.554	170.0	 14	 169.64	 7.447	 100
 0	 1	   60	 180.80	30.682	180.0	 13	 179.36	 8.966	 100
 0	 1	   70	 191.64	40.255	194.0	 17	 194.02	 6.859	 100
 0	 1	   80	 202.91	27.571	205.0	 17	 205.20	 7.733	 100
 0	 1	   90	 222.73	36.148	216.0	 17	 215.43	 5.789	 100
 0	 1	  100	 232.13	28.959	227.5	 17	 227.01	 6.695	 100
 0	 1	  200	 335.05	23.535	333.0	 13	 332.74	 6.652	 100
 0	 1	  300	 426.33	29.558	424.0	 16	 423.15	 5.014	 100
 0	 1	  400	 500.46	32.183	500.0	 22	 499.72	 5.945	 100
 0	 1	  500	 566.22	31.564	564.0	 22	 562.82	 4.457	 100
 0	 1	  600	 612.92	16.225	612.0	 14	 610.86	 5.395	 100
 0	 1	  700	 652.07	18.988	651.0	 17	 650.55	 5.577	 100
 0	 1	  800	 686.75	20.618	683.0	 18	 682.99	 5.481	 100
 0	 1	  900	 710.88	13.100	709.0	 13	 708.32	 5.810	 100
 0	 1	 1000	 736.51	15.165	734.0	 16	 733.67	 4.358	 100
 0	 1	 1200	 778.39	14.796	776.0	 14	 775.88	 4.299	 100
 0	 1	 1400	 808.86	15.198	809.0	 12	 807.83	 6.206	 100
 0	 1	 1600	 834.36	11.918	836.0	 15	 836.73	 4.457	 100
 0	 1	 1800	 862.95	12.560	863.0	  7	 862.23	 7.306	 100
 0	 1	 2000	 884.68	16.041	884.0	 13	 882.86	 5.733	 100
 0	 1	 4000	1028.34	14.366	1026.0	 13	1025.56	 5.253	 100
 0	 1	 6000	1111.90	11.597	1112.0	 16	1111.45	 4.535	 100
 0	 1	 8000	1177.53	13.288	1175.5	 15	1175.15	 5.165	 100
 0	 1	10000	1228.47	13.302	1228.0	 10	1227.67	 6.152	 100
 0	 1	12000	1272.03	12.058	1273.0	 13	1272.11	 5.877	 100
 0	 1	14000	1314.46	10.793	1314.0	 12	1313.76	 5.157	 100
 0	 1	16000	1351.70	14.097	1351.0	 12	1350.62	 5.052	 100
 0	 1	18000	1386.95	14.485	1386.0	 14	1385.21	 5.867	 100
 0	 1	20000	1416.95	10.910	1418.0	  9	1416.54	 6.905	 100
 0	 1	22000	1448.26	11.547	1449.0	  8	1448.00	 6.333	 100
 0	 1	24000	1477.64	 9.308	1478.0	 11	1476.78	 4.552	 100
 0	 1	26000	1506.95	15.221	1506.0	 11	1505.48	 5.853	 100
 0	 1	28000	1532.22	14.185	1533.0	 11	1532.04	 5.711	 100
 0	 1	30000	1557.52	14.876	1559.0	 12	1558.74	 5.499	 100
 0	 1	32000	1586.39	16.476	1585.5	 17	1584.93	 5.305	 100
 0	 1	34000	1611.63	17.730	1610.0	 16	1609.19	 5.318	 100
 0	 1	36000	1632.75	11.046	1634.0	  8	1633.64	 6.465	 100
 0	 1	38000	1656.23	13.287	1655.0	 14	1654.34	 4.343	 100
 0	 1	40000	1680.65	18.848	1679.0	  9	1678.05	 6.295	 100
 0	 1	42000	1700.98	17.632	1701.0	 18	1700.46	 3.942	 100
 0	 1	44000	1722.16	17.195	1722.0	 16	1720.75	 3.893	 100
 0	 1	46000	1746.55	23.240	1742.0	 16	1741.42	 5.565	 100
 0	 1	48000	1762.25	20.140	1761.5	 14	1760.42	 4.832	 100
 0	 1	50000	1779.60	18.377	1778.0	 10	1778.08	 5.521	 100
 0	 1	52000	1800.14	20.685	1797.0	 14	1796.26	 6.345	 100
 0	 1	54000	1818.23	24.586	1812.0	 22	1811.10	 3.897	 100
 0	 1	56000	1827.65	20.553	1824.0	 16	1823.38	 4.426	 100
 0	 1	58000	1841.15	20.465	1838.0	 17	1837.34	 5.257	 100
 0	 1	60000	1859.16	27.546	1852.0	 15	1850.84	 5.210	 100
 0	 1	62000	1876.75	27.395	1871.0	 17	1870.13	 5.348	 100
 0	 1	64000	1904.34	26.400	1896.5	 12	1895.61	10.948	 100
 0	 2	   10	 134.85	18.507	133.0	 19	 131.99	 5.127	 100
 0	 2	   20	 142.52	24.436	142.0	 19	 142.77	 5.535	 100
 0	 2	   30	 151.73	25.522	153.0	 16	 153.32	 6.325	 100
 0	 2	   40	 167.78	20.547	166.0	 16	 165.88	 6.513	 100
 0	 2	   50	 173.85	17.034	174.0	 10	 174.52	 6.709	 100
 0	 2	   60	 188.70	28.319	189.0	 21	 188.82	 6.565	 100
 0	 2	   70	 199.42	22.384	200.0	 16	 199.73	 7.453	 100
 0	 2	   80	 204.61	18.686	209.0	 12	 209.77	 6.804	 100
 0	 2	   90	 221.18	21.573	221.0	 16	 220.61	 6.628	 100
 0	 2	  100	 231.32	22.927	233.0	 19	 233.63	 6.822	 100
 0	 2	  200	 337.36	20.311	334.0	 16	 333.19	 6.251	 100
 0	 2	  300	 424.15	20.759	419.0	 19	 417.94	 6.191	 100
 0	 2	  400	 488.99	14.438	489.0	  9	 487.90	 4.964	 100
 0	 2	  500	 545.53	12.581	544.0	 13	 544.38	 4.468	 100
 0	 2	  600	 589.95	14.175	590.0	 16	 590.38	 4.080	 100
 0	 2	  700	 629.74	11.576	629.0	 12	 628.67	 5.114	 100
 0	 2	  800	 664.54	12.100	663.0	 16	 663.04	 5.017	 100
 0	 2	  900	 690.43	 5.862	691.0	 14	 691.09	 3.146	 100
 0	 2	 1000	 718.30	 9.508	717.0	 12	 717.39	 5.156	 100
 0	 2	 1200	 759.27	 8.497	759.0	 10	 758.41	 4.337	 100
 0	 2	 1400	 796.46	 9.793	796.0	 13	 795.69	 3.813	 100
 0	 2	 1600	 824.91	 8.321	826.0	 11	 825.35	 4.736	 100
 0	 2	 1800	 850.11	 9.340	850.0	  7	 849.23	 6.243	 100
 0	 2	 2000	 872.92	 9.618	873.0	 16	 872.85	 4.427	 100
 0	 2	 4000	1017.75	 9.266	1017.0	  7	1016.76	 5.422	 100
