ch	pt	CAL_V	mean	std	median	outliers	mean_w/o_out	std_w/o_out	samples
 0	 0	   10	 109.89	 4.938	109.0	  2	 109.58	 4.481	 100
 0	 0	   20	 117.80	 5.442	117.0	 11	 117.38	 3.406	 100
 0	 0	   30	 125.08	 5.624	125.0	  0	 125.08	 5.624	 100
 0	 0	   40	 133.95	 6.081	134.0	  2	 133.98	 5.464	 100
 0	 0	   50	 142.82	 5.987	142.0	  3	 142.13	 4.575	 100
 0	 0	   60	 152.28	 6.094	152.0	  6	 151.87	 4.786	 100
 0	 0	   70	 161.91	 5.316	162.0	  2	 162.21	 4.914	 100
 0	 0	   80	 169.97	 7.316	170.0	  3	 169.73	 6.419	 100
 0	 0	   90	 180.75	 6.436	181.0	  2	 180.77	 5.600	 100
 0	 0	  100	 188.88	 5.864	189.0	  0	 188.88	 5.864	 100
 0	 0	  200	 279.77	 6.960	280.5	  1	 279.99	 6.637	 100
 0	 0	  300	 366.42	 5.684	367.0	  3	 366.18	 4.916	 100
 0	 0	  400	 443.20	 5.468	443.0	  3	 443.05	 4.944	 100
 0	 0	  500	 505.94	 4.780	506.0	  1	 506.14	 4.357	 100
 0	 0	  600	 557.93	 5.221	557.0	  1	 558.10	 4.958	 100
 0	 0	  700	 597.85	 4.363	598.0	  0	 597.85	 4.363	 100
 0	 0	  800	 627.90	 3.826	628.0	  5	 627.78	 3.043	 100
 0	 0	  900	 651.40	 3.892	651.0	  3	 651.24	 3.322	 100
 0	 0	 1000	 670.49	 4.947	670.0	  0	 670.49	 4.947	 100
 0	 0	 1200	 701.80	 3.890	702.0	  0	 701.80	 3.890	 100
 0	 0	 1400	 723.66	 4.802	724.0	  0	 723.66	 4.802	 100
 0	 0	 1600	 744.88	 4.302	745.0	  0	 744.88	 4.302	 100
 0	 0	 1800	 762.38	 4.065	762.0	  0	 762.38	 4.065	 100
 0	 0	 2000	 780.00	 4.010	779.5	  1	 779.84	 3.689	 100
 0	 0	 4000	 903.63	 4.618	904.0	  1	 903.77	 4.430	 100
 0	 0	 6000	 987.54	 3.878	988.0	  1	 987.64	 3.775	 100
 0	 0	 8000	1046.78	 3.881	1047.0	  3	1046.89	 3.430	 100
 0	 0	10000	1093.80	 3.624	1094.0	  4	1094.20	 3.111	 100
 0	 0	12000	1134.74	 3.469	1135.0	  1	1134.85	 3.312	 100
 0	 0	14000	1172.89	 3.120	1173.0	  0	1172.89	 3.120	 100
 0	 0	16000	1208.04	 3.698	1208.0	  0	1208.04	 3.698	 100
 0	 0	18000	1241.42	 3.441	1242.0	  0	1241.42	 3.441	 100
 0	 0	20000	1272.12	 4.063	1272.0	  5	1271.80	 3.221	 100
 0	 0	22000	1302.91	 3.652	1303.0	  0	1302.91	 3.652	 100
 0	 0	24000	1330.52	 3.694	1330.0	  0	1330.52	 3.694	 100
 0	 0	26000	1358.02	 3.375	1357.0	  0	1358.02	 3.375	 100
 0	 0	28000	1384.49	 3.815	1385.0	  0	1384.49	 3.815	 100
 0	 0	30000	1411.69	 4.242	1412.0	  1	1411.84	 3.994	 100
 0	 0	32000	1436.25	 2.966	1436.0	  1	1436.15	 2.812	 100
 0	 0	34000	1461.18	 3.448	1461.0	  1	1461.07	 3.286	 100
 0	 0	36000	1485.14	 4.122	1485.0	  0	1485.14	 4.122	 100
