ch	pt	CAL_V	mean	std	median	outliers	mean_w/o_out	std_w/o_out	samples
 0	 0	   10	 126.49	 7.726	128.0	  0	 126.49	 7.726	 100
 0	 0	   20	 132.65	 7.408	132.0	  3	 132.02	 6.572	 100
 0	 0	   30	 139.58	 8.542	139.0	  1	 139.30	 8.122	 100
 0	 0	   40	 148.01	 8.632	149.0	  4	 148.45	 6.787	 100
 0	 0	   50	 157.30	 9.366	157.0	  1	 156.99	 8.883	 100
 0	 0	   60	 166.08	 9.373	165.0	  0	 166.08	 9.373	 100
 0	 0	   70	 175.54	 8.485	175.0	  0	 175.54	 8.485	 100
 0	 0	   80	 184.99	 9.494	183.5	  0	 184.99	 9.494	 100
 0	 0	   90	 192.25	 8.108	193.0	  1	 192.51	 7.736	 100
 0	 0	  100	 201.07	10.627	200.5	  1	 200.75	10.177	 100
 0	 0	  200	 294.43	 8.191	294.0	  7	 294.17	 6.308	 100
 0	 0	  300	 386.09	 8.712	386.0	  0	 386.09	 8.712	 100
 0	 0	  400	 470.83	 8.398	470.0	  2	 470.38	 7.851	 100
 0	 0	  500	 549.16	 8.098	548.5	  1	 549.45	 7.581	 100
 0	 0	  600	 616.43	 8.785	616.0	  1	 616.11	 8.227	 100
 0	 0	  700	 674.28	 6.677	674.0	  0	 674.28	 6.677	 100
 0	 0	  800	 723.06	 8.557	724.0	  2	 723.50	 8.057	 100
 0	 0	  900	 763.86	 9.423	763.0	  0	 763.86	 9.423	 100
 0	 0	 1000	 797.32	 9.012	797.0	  1	 797.60	 8.622	 100
 0	 0	 1200	 846.32	 9.524	848.0	  1	 846.58	 9.221	 100
 0	 0	 1400	 882.90	 8.264	882.0	  2	 882.41	 7.576	 100
 0	 0	 1600	 911.31	 8.666	912.0	  0	 911.31	 8.666	 100
 0	 0	 1800	 935.84	 8.081	935.0	  0	 935.84	 8.081	 100
 0	 0	 2000	 957.19	 9.977	956.0	  1	 956.90	 9.592	 100
 0	 0	 4000	1103.23	10.059	1103.0	  0	1103.23	10.059	 100
 0	 0	 6000	1197.70	 9.498	1199.0	  0	1197.70	 9.498	 100
 0	 0	 8000	1263.05	 9.226	1262.5	  1	1262.76	 8.795	 100
 0	 0	10000	1319.61	 8.072	1319.5	  0	1319.61	 8.072	 100
 0	 0	12000	1368.21	 8.300	1369.0	  0	1368.21	 8.300	 100
 0	 0	14000	1411.09	 7.855	1410.5	  0	1411.09	 7.855	 100
 0	 0	16000	1452.16	 9.760	1453.0	  0	1452.16	 9.760	 100
 0	 0	18000	1487.04	 9.078	1486.5	  1	1486.74	 8.602	 100
 0	 0	20000	1522.89	 8.488	1523.0	  0	1522.89	 8.488	 100
 0	 0	22000	1559.65	 8.639	1559.0	  2	1559.18	 8.074	 100
 0	 0	24000	1588.54	 7.356	1588.0	  0	1588.54	 7.356	 100
 0	 0	26000	1621.41	 8.344	1622.0	  0	1621.41	 8.344	 100
 0	 0	28000	1650.84	 9.999	1650.0	  0	1650.84	 9.999	 100
 0	 0	30000	1678.22	 8.877	1677.0	  2	1677.72	 8.240	 100
 0	 0	32000	1707.22	 8.895	1707.5	  0	1707.22	 8.895	 100
 0	 0	34000	1734.62	 7.160	1735.0	  0	1734.62	 7.160	 100
 0	 0	36000	1760.02	 8.873	1758.5	  0	1760.02	 8.873	 100
 0	 0	38000	1786.83	 6.949	1787.0	  0	1786.83	 6.949	 100
 0	 0	40000	1810.67	 8.155	1810.0	  0	1810.67	 8.155	 100
 0	 0	42000	1834.44	 7.785	1834.0	  0	1834.44	 7.785	 100
 0	 0	44000	1855.80	 7.909	1856.0	  1	1855.55	 7.526	 100
 0	 0	46000	1879.94	 8.907	1879.0	  0	1879.94	 8.907	 100
 0	 0	48000	1900.35	 5.419	1900.0	  1	1900.17	 5.143	 100
 0	 0	50000	1920.52	 6.268	1921.0	  0	1920.52	 6.268	 100
 0	 0	52000	1938.94	 5.834	1938.0	  0	1938.94	 5.834	 100
 0	 0	54000	1955.24	 6.785	1955.0	  0	1955.24	 6.785	 100
 0	 0	56000	1971.33	 5.405	1971.5	  0	1971.33	 5.405	 100
 0	 0	58000	1985.74	 5.298	1986.0	  3	1985.90	 4.718	 100
 0	 0	60000	1997.65	 4.641	1998.0	  1	1997.80	 4.422	 100
 0	 0	62000	2008.78	 3.221	2009.0	  1	2008.89	 3.047	 100
 0	 0	64000	2016.87	 3.161	2017.0	  1	2016.97	 3.015	 100
 0	 1	   10	 130.86	 7.421	130.0	  0	 130.86	 7.421	 100
 0	 1	   20	 139.70	11.195	141.0	  0	 139.70	11.195	 100
 0	 1	   30	 150.94	 8.801	151.0	  1	 151.22	 8.378	 100
 0	 1	   40	 159.84	11.128	160.0	  0	 159.84	11.128	 100
 0	 1	   50	 171.72	11.444	170.0	  0	 171.72	11.444	 100
 0	 1	   60	 182.57	10.572	183.0	  0	 182.57	10.572	 100
 0	 1	   70	 188.52	10.678	189.0	  0	 188.52	10.678	 100
 0	 1	   80	 203.73	 8.404	203.5	  1	 203.98	 8.065	 100
 0	 1	   90	 213.61	10.561	212.0	  0	 213.61	10.561	 100
 0	 1	  100	 223.29	 9.169	224.0	  0	 223.29	 9.169	 100
 0	 1	  200	 324.67	10.767	325.0	  2	 324.08	10.041	 100
 0	 1	  300	 409.67	 8.896	410.5	  0	 409.67	 8.896	 100
 0	 1	  400	 480.95	 8.357	481.5	  0	 480.95	 8.357	 100
 0	 1	  500	 535.89	 8.808	535.0	  0	 535.89	 8.808	 100
 0	 1	  600	 583.20	 6.843	583.5	  0	 583.20	 6.843	 100
 0	 1	  700	 618.21	 7.960	618.0	  0	 618.21	 7.960	 100
 0	 1	  800	 647.79	 8.375	649.0	  0	 647.79	 8.375	 100
 0	 1	  900	 674.88	 6.937	676.0	  2	 675.22	 6.567	 100
 0	 1	 1000	 696.38	 7.267	695.0	  3	 695.85	 6.695	 100
 0	 1	 1200	 737.35	 6.516	738.0	  0	 737.35	 6.516	 100
 0	 1	 1400	 771.69	 7.671	772.0	  0	 771.69	 7.671	 100
 0	 1	 1600	 800.70	 5.919	801.0	  0	 800.70	 5.919	 100
 0	 1	 1800	 825.29	 7.981	825.5	  0	 825.29	 7.981	 100
 0	 1	 2000	 848.26	 7.619	847.0	  0	 848.26	 7.619	 100
 0	 1	 4000	 989.88	 7.292	989.0	  1	 989.68	 7.039	 100
 0	 1	 6000	1076.45	 7.808	1077.0	  2	1076.92	 7.150	 100
 0	 1	 8000	1139.93	 5.760	1139.0	  3	1139.52	 5.331	 100
 0	 1	10000	1192.17	 7.158	1191.0	  0	1192.17	 7.158	 100
 0	 1	12000	1239.47	 6.425	1239.0	  1	1239.29	 6.208	 100
 0	 1	14000	1279.82	 7.554	1281.0	  0	1279.82	 7.554	 100
 0	 1	16000	1317.99	 7.356	1317.0	  1	1317.76	 7.015	 100
 0	 1	18000	1352.38	 6.154	1353.0	  0	1352.38	 6.154	 100
 0	 1	20000	1384.20	 7.271	1384.0	  0	1384.20	 7.271	 100
 0	 1	22000	1417.09	 5.724	1417.0	  1	1417.27	 5.453	 100
 0	 1	24000	1444.87	 7.081	1445.0	  0	1444.87	 7.081	 100
 0	 1	26000	1474.08	 7.043	1473.0	  0	1474.08	 7.043	 100
 0	 1	28000	1501.85	 7.894	1502.0	  0	1501.85	 7.894	 100
 0	 1	30000	1527.86	 7.068	1528.0	  0	1527.86	 7.068	 100
 0	 1	32000	1556.10	 5.262	1556.0	  1	1555.96	 5.097	 100
 0	 1	34000	1579.30	 6.710	1579.5	  0	1579.30	 6.710	 100
 0	 1	36000	1604.70	 5.289	1605.0	  1	1604.56	 5.113	 100
 0	 1	38000	1627.93	 7.258	1628.0	  0	1627.93	 7.258	 100
 0	 1	40000	1650.68	 7.009	1651.0	  0	1650.68	 7.009	 100
 0	 1	42000	1672.42	 6.084	1673.0	  0	1672.42	 6.084	 100
 0	 1	44000	1694.76	 7.937	1695.0	  0	1694.76	 7.937	 100
 0	 1	46000	1714.71	 5.292	1714.0	  1	1714.53	 4.984	 100
 0	 1	48000	1735.16	 6.286	1735.0	  0	1735.16	 6.286	 100
 0	 1	50000	1756.89	 5.331	1756.5	  2	1756.62	 5.039	 100
 0	 1	52000	1775.96	 6.521	1775.0	  0	1775.96	 6.521	 100
 0	 1	54000	1795.92	 6.919	1796.0	  0	1795.92	 6.919	 100
 0	 1	56000	1813.76	 5.071	1814.0	  3	1813.91	 4.418	 100
 0	 1	58000	1829.60	 5.738	1830.0	  0	1829.60	 5.738	 100
 0	 1	60000	1845.65	 4.670	1845.5	  0	1845.65	 4.670	 100
 0	 1	62000	1859.82	 5.918	1860.0	  0	1859.82	 5.918	 100
 0	 1	64000	1873.52	 6.441	1874.0	  0	1873.52	 6.441	 100
 0	 2	   10	 132.91	11.314	132.0	  0	 132.91	11.314	 100
 0	 2	   20	 140.45	 7.705	141.0	  1	 140.69	 7.369	 100
 0	 2	   30	 151.24	11.127	151.0	  0	 151.24	11.127	 100
 0	 2	   40	 162.82	10.328	162.0	  0	 162.82	10.328	 100
 0	 2	   50	 173.48	11.189	173.0	  2	 172.80	10.201	 100
 0	 2	   60	 184.11	11.270	182.0	  0	 184.11	11.270	 100
 0	 2	   70	 194.55	 8.976	194.0	  0	 194.55	 8.976	 100
 0	 2	   80	 206.88	10.100	206.0	  0	 206.88	10.100	 100
 0	 2	   90	 216.54	10.176	217.0	  0	 216.54	10.176	 100
 0	 2	  100	 226.58	11.436	226.0	  0	 226.58	11.436	 100
 0	 2	  200	 321.80	 9.728	322.0	  0	 321.80	 9.728	 100
 0	 2	  300	 399.18	 6.376	399.0	  1	 399.36	 6.137	 100
 0	 2	  400	 465.44	 7.914	466.0	  0	 465.44	 7.914	 100
 0	 2	  500	 518.99	 6.251	519.5	  2	 518.99	 5.825	 100
 0	 2	  600	 562.47	 7.665	563.5	  0	 562.47	 7.665	 100
 0	 2	  700	 599.92	 7.359	600.5	  0	 599.92	 7.359	 100
 0	 2	  800	 632.39	 6.998	633.0	  0	 632.39	 6.998	 100
 0	 2	  900	 659.55	 6.932	659.0	  0	 659.55	 6.932	 100
 0	 2	 1000	 685.60	 5.097	685.0	  0	 685.60	 5.097	 100
 0	 2	 1200	 725.51	 6.227	724.0	  0	 725.51	 6.227	 100
 0	 2	 1400	 760.47	 5.062	760.0	  0	 760.47	 5.062	 100
 0	 2	 1600	 790.76	 6.309	790.0	  0	 790.76	 6.309	 100
 0	 2	 1800	 815.35	 6.203	815.0	  0	 815.35	 6.203	 100
 0	 2	 2000	 837.64	 6.106	837.0	  0	 837.64	 6.106	 100
 0	 2	 4000	 980.39	 6.523	981.0	  0	 980.39	 6.523	 100
 0	 2	 6000	1066.38	 4.318	1066.0	  1	1066.22	 4.039	 100
 0	 2	 8000	1130.58	 6.562	1130.0	  0	1130.58	 6.562	 100
 0	 2	10000	1184.32	 5.532	1185.0	  0	1184.32	 5.532	 100
 0	 2	12000	1228.18	 5.706	1229.0	  0	1228.18	 5.706	 100
 0	 2	14000	1270.01	 6.301	1269.0	  0	1270.01	 6.301	 100
 0	 2	16000	1308.41	 5.007	1309.0	  1	1308.56	 4.815	 100
 0	 2	18000	1343.05	 5.807	1342.0	  0	1343.05	 5.807	 100
 0	 2	20000	1375.95	 5.004	1375.0	  1	1375.82	 4.852	 100
 0	 2	22000	1408.24	 5.648	1409.0	  0	1408.24	 5.648	 100
 0	 2	24000	1437.73	 5.335	1437.5	  0	1437.73	 5.335	 100
